Fitness: 173063, Laufzeit: 0:00:21 Pop: 10, Wi: 50, Mu: 3, Me: 1, Gen: 4 RoundsFind: 100, RoundsPolygon: 76 Dissmissed: 1
Fitness: 185177, Laufzeit: 0:00:16 Pop: 10, Wi: 50, Mu: 1, Me: 3, Gen: 4 RoundsFind: 89, RoundsPolygon: 69 Dissmissed: 1
Fitness: 170676, Laufzeit: 0:00:18 Pop: 10, Wi: 50, Mu: 1, Me: 1, Gen: 4 RoundsFind: 84, RoundsPolygon: 69 Dissmissed: 1
Fitness: 160202, Laufzeit: 0:00:35 Pop: 10, Wi: 100, Mu: 7, Me: 1, Gen: 4 RoundsFind: 184, RoundsPolygon: 159 Dissmissed: 1
Fitness: 174210, Laufzeit: 0:00:27 Pop: 10, Wi: 100, Mu: 5, Me: 3, Gen: 4 RoundsFind: 148, RoundsPolygon: 141 Dissmissed: 1
Fitness: 170478, Laufzeit: 0:00:36 Pop: 10, Wi: 100, Mu: 5, Me: 1, Gen: 4 RoundsFind: 171, RoundsPolygon: 149 Dissmissed: 1
Fitness: 178729, Laufzeit: 0:00:22 Pop: 10, Wi: 100, Mu: 3, Me: 5, Gen: 4 RoundsFind: 128, RoundsPolygon: 137 Dissmissed: 1
Fitness: 185348, Laufzeit: 0:00:30 Pop: 10, Wi: 100, Mu: 3, Me: 3, Gen: 4 RoundsFind: 177, RoundsPolygon: 150 Dissmissed: 1
Fitness: 171543, Laufzeit: 0:00:22 Pop: 10, Wi: 100, Mu: 1, Me: 7, Gen: 4 RoundsFind: 164, RoundsPolygon: 153 Dissmissed: 1
Fitness: 174442, Laufzeit: 0:00:37 Pop: 10, Wi: 100, Mu: 3, Me: 1, Gen: 4 RoundsFind: 170, RoundsPolygon: 137 Dissmissed: 1
Fitness: 187724, Laufzeit: 0:00:24 Pop: 10, Wi: 100, Mu: 1, Me: 5, Gen: 4 RoundsFind: 155, RoundsPolygon: 138 Dissmissed: 1
Fitness: 166584, Laufzeit: 0:00:02 Pop: 30, Wi: 0, Mu: 7, Me: 1, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 177514, Laufzeit: 0:00:02 Pop: 30, Wi: 0, Mu: 5, Me: 3, Gen: 4 RoundsFind: 6, RoundsPolygon: 2 Dissmissed: 1
Fitness: 181875, Laufzeit: 0:00:02 Pop: 30, Wi: 0, Mu: 5, Me: 1, Gen: 4 RoundsFind: 3, RoundsPolygon: 2 Dissmissed: 1
Fitness: 185513, Laufzeit: 0:00:30 Pop: 10, Wi: 100, Mu: 1, Me: 3, Gen: 4 RoundsFind: 163, RoundsPolygon: 132 Dissmissed: 1
Fitness: 181211, Laufzeit: 0:00:03 Pop: 30, Wi: 0, Mu: 3, Me: 5, Gen: 4 RoundsFind: 8, RoundsPolygon: 1 Dissmissed: 1
Fitness: 180339, Laufzeit: 0:00:03 Pop: 30, Wi: 0, Mu: 3, Me: 3, Gen: 4 RoundsFind: 6, RoundsPolygon: 2 Dissmissed: 1
Fitness: 175884, Laufzeit: 0:00:03 Pop: 30, Wi: 0, Mu: 3, Me: 1, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 177642, Laufzeit: 0:00:03 Pop: 30, Wi: 0, Mu: 1, Me: 7, Gen: 4 RoundsFind: 9, RoundsPolygon: 1 Dissmissed: 1
Fitness: 192759, Laufzeit: 0:00:03 Pop: 30, Wi: 0, Mu: 1, Me: 5, Gen: 4 RoundsFind: 8, RoundsPolygon: 1 Dissmissed: 1
Fitness: 169881, Laufzeit: 0:00:37 Pop: 10, Wi: 100, Mu: 1, Me: 1, Gen: 4 RoundsFind: 190, RoundsPolygon: 134 Dissmissed: 1
Fitness: 179617, Laufzeit: 0:00:03 Pop: 30, Wi: 0, Mu: 1, Me: 3, Gen: 4 RoundsFind: 6, RoundsPolygon: 2 Dissmissed: 1
Fitness: 188134, Laufzeit: 0:00:03 Pop: 30, Wi: 0, Mu: 1, Me: 1, Gen: 4 RoundsFind: 3, RoundsPolygon: 2 Dissmissed: 1
