Fitness: 172401, Laufzeit: 0:00:20 Pop: 10, Wi: 50, Mu: 5, Me: 1, Gen: 4 RoundsFind: 101, RoundsPolygon: 63 Dissmissed: 10
Fitness: 173840, Laufzeit: 0:00:31 Pop: 10, Wi: 100, Mu: 1, Me: 1, Gen: 4 RoundsFind: 162, RoundsPolygon: 130 Dissmissed: 10
Fitness: 180763, Laufzeit: 0:00:24 Pop: 10, Wi: 100, Mu: 1, Me: 3, Gen: 4 RoundsFind: 148, RoundsPolygon: 113 Dissmissed: 10
Fitness: 186569, Laufzeit: 0:00:22 Pop: 10, Wi: 100, Mu: 1, Me: 5, Gen: 4 RoundsFind: 166, RoundsPolygon: 121 Dissmissed: 10
Fitness: 175461, Laufzeit: 0:00:21 Pop: 10, Wi: 100, Mu: 3, Me: 5, Gen: 4 RoundsFind: 160, RoundsPolygon: 132 Dissmissed: 10
Fitness: 185271, Laufzeit: 0:00:25 Pop: 10, Wi: 100, Mu: 3, Me: 3, Gen: 4 RoundsFind: 153, RoundsPolygon: 142 Dissmissed: 10
Fitness: 178143, Laufzeit: 0:00:31 Pop: 10, Wi: 100, Mu: 3, Me: 1, Gen: 4 RoundsFind: 163, RoundsPolygon: 128 Dissmissed: 10
Fitness: 183498, Laufzeit: 0:00:02 Pop: 30, Wi: 0, Mu: 1, Me: 1, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 10
Fitness: 187312, Laufzeit: 0:00:02 Pop: 30, Wi: 0, Mu: 1, Me: 3, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 10
Fitness: 186896, Laufzeit: 0:00:02 Pop: 30, Wi: 0, Mu: 1, Me: 5, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 10
Fitness: 181208, Laufzeit: 0:00:02 Pop: 30, Wi: 0, Mu: 3, Me: 1, Gen: 4 RoundsFind: 1, RoundsPolygon: 2 Dissmissed: 10
Fitness: 180262, Laufzeit: 0:00:23 Pop: 10, Wi: 100, Mu: 5, Me: 3, Gen: 4 RoundsFind: 152, RoundsPolygon: 134 Dissmissed: 10
Fitness: 185864, Laufzeit: 0:00:02 Pop: 30, Wi: 0, Mu: 3, Me: 3, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 10
Fitness: 182720, Laufzeit: 0:00:02 Pop: 30, Wi: 0, Mu: 5, Me: 1, Gen: 4 RoundsFind: 1, RoundsPolygon: 2 Dissmissed: 10
Fitness: 190912, Laufzeit: 0:00:03 Pop: 30, Wi: 0, Mu: 3, Me: 5, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 10
Fitness: 173323, Laufzeit: 0:00:37 Pop: 10, Wi: 100, Mu: 5, Me: 1, Gen: 4 RoundsFind: 191, RoundsPolygon: 122 Dissmissed: 10
Fitness: 186449, Laufzeit: 0:00:03 Pop: 30, Wi: 1, Mu: 1, Me: 1, Gen: 4 RoundsFind: 3, RoundsPolygon: 3 Dissmissed: 10
Fitness: 187354, Laufzeit: 0:00:02 Pop: 30, Wi: 0, Mu: 5, Me: 3, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 10
