Fitness: 188248, Laufzeit: 0:00:32 Pop: 30, Wi: 20, Mu: 1, Me: 5, Gen: 4 RoundsFind: 44, RoundsPolygon: 29 Dissmissed: 1
Fitness: 179543, Laufzeit: 0:00:33 Pop: 30, Wi: 20, Mu: 3, Me: 3, Gen: 4 RoundsFind: 50, RoundsPolygon: 30 Dissmissed: 1
Fitness: 187060, Laufzeit: 0:00:32 Pop: 30, Wi: 20, Mu: 3, Me: 5, Gen: 4 RoundsFind: 45, RoundsPolygon: 31 Dissmissed: 1
Fitness: 179524, Laufzeit: 0:01:01 Pop: 30, Wi: 20, Mu: 3, Me: 1, Gen: 4 RoundsFind: 74, RoundsPolygon: 34 Dissmissed: 1
Fitness: 181775, Laufzeit: 0:00:33 Pop: 30, Wi: 20, Mu: 5, Me: 3, Gen: 4 RoundsFind: 50, RoundsPolygon: 26 Dissmissed: 1
Fitness: 183782, Laufzeit: 0:00:28 Pop: 30, Wi: 20, Mu: 5, Me: 5, Gen: 4 RoundsFind: 42, RoundsPolygon: 32 Dissmissed: 1
Fitness: 175566, Laufzeit: 0:00:49 Pop: 30, Wi: 20, Mu: 5, Me: 1, Gen: 4 RoundsFind: 75, RoundsPolygon: 29 Dissmissed: 1
Fitness: 187158, Laufzeit: 0:01:03 Pop: 30, Wi: 50, Mu: 1, Me: 3, Gen: 4 RoundsFind: 91, RoundsPolygon: 69 Dissmissed: 1
Fitness: 188228, Laufzeit: 0:01:00 Pop: 30, Wi: 50, Mu: 1, Me: 5, Gen: 4 RoundsFind: 93, RoundsPolygon: 62 Dissmissed: 1
Fitness: 190207, Laufzeit: 0:02:00 Pop: 30, Wi: 50, Mu: 1, Me: 1, Gen: 4 RoundsFind: 145, RoundsPolygon: 65 Dissmissed: 1
Fitness: 179750, Laufzeit: 0:01:14 Pop: 30, Wi: 50, Mu: 3, Me: 3, Gen: 4 RoundsFind: 101, RoundsPolygon: 67 Dissmissed: 1
Fitness: 184564, Laufzeit: 0:01:26 Pop: 30, Wi: 50, Mu: 3, Me: 1, Gen: 4 RoundsFind: 145, RoundsPolygon: 66 Dissmissed: 1
Fitness: 185635, Laufzeit: 0:01:02 Pop: 30, Wi: 50, Mu: 3, Me: 5, Gen: 4 RoundsFind: 91, RoundsPolygon: 68 Dissmissed: 1
Fitness: 181910, Laufzeit: 0:01:07 Pop: 30, Wi: 50, Mu: 5, Me: 3, Gen: 4 RoundsFind: 98, RoundsPolygon: 68 Dissmissed: 1
Fitness: 176967, Laufzeit: 0:00:05 Pop: 60, Wi: 0, Mu: 1, Me: 1, Gen: 4 RoundsFind: 1, RoundsPolygon: 2 Dissmissed: 1
